mating.regime,block,sex,agrawal.stock.number,DSPR.stock.number,replicate,total.wt,total.flies,scorer.name
vial,1,f,2,11002,1,24,72,NA
vial,1,f,2,11002,2,10,37,NA
vial,1,f,2,11002,3,13,41,NA
vial,1,f,2,11002,4,16,53,NA
vial,1,f,2,11002,5,44,89,NA
vial,1,f,4,11005,1,28,74,NA
vial,1,f,4,11005,2,31,100,NA
vial,1,f,4,11005,3,35,83,NA
vial,1,f,4,11005,4,36,84,NA
vial,1,f,4,11005,5,27,89,NA
vial,1,f,5,11009,1,32,68,NA
vial,1,f,5,11009,2,13,69,NA
vial,1,f,5,11009,3,23,65,NA
vial,1,f,5,11009,4,29,67,NA
vial,1,f,5,11009,5,16,51,NA
vial,1,f,6,11011,1,21,100,NA
vial,1,f,6,11011,2,5,64,NA
vial,1,f,6,11011,3,14,100,NA
vial,1,f,6,11011,4,9,90,NA
vial,1,f,6,11011,5,10,76,NA
vial,1,f,7,11013,1,34,100,NA
vial,1,f,7,11013,2,23,100,NA
vial,1,f,7,11013,3,32,100,NA
vial,1,f,7,11013,4,15,43,NA
vial,1,f,7,11013,5,43,98,NA
vial,1,f,8,11015,1,24,100,NA
vial,1,f,8,11015,2,30,100,NA
vial,1,f,8,11015,3,23,100,NA
vial,1,f,8,11015,4,38,100,NA
vial,1,f,8,11015,5,36,100,NA
vial,1,f,9,11018,1,31,100,NA
vial,1,f,9,11018,2,19,100,NA
vial,1,f,9,11018,3,30,100,NA
vial,1,f,9,11018,4,24,98,NA
vial,1,f,9,11018,5,26,100,NA
vial,1,f,10,11019,1,37,100,NA
vial,1,f,10,11019,2,31,112,NA
vial,1,f,10,11019,3,34,100,NA
vial,1,f,10,11019,4,30,100,NA
vial,1,f,10,11019,5,32,100,NA
vial,1,f,11,11022,1,29,100,NA
vial,1,f,11,11022,2,28,100,NA
vial,1,f,11,11022,3,34,100,NA
vial,1,f,11,11022,4,32,100,NA
vial,1,f,11,11022,5,30,100,NA
vial,1,f,12,11025,1,35,100,NA
vial,1,f,12,11025,2,32,100,NA
vial,1,f,12,11025,3,21,100,NA
vial,1,f,12,11025,4,39,100,NA
vial,1,f,12,11025,5,28,99,NA
vial,1,f,15,11031,1,22,100,NA
vial,1,f,15,11031,2,26,100,NA
vial,1,f,15,11031,3,23,100,NA
vial,1,f,15,11031,4,34,100,NA
vial,1,f,13,11027,1,27,100,nina
vial,1,f,13,11027,2,29,100,nina
vial,1,f,13,11027,3,33,100,nina
vial,1,f,13,11027,4,38,100,nina
vial,1,f,13,11027,5,22,100,nina
vial,1,f,17,11036,1,29,100,nina
vial,1,f,17,11036,2,33,100,nina
vial,1,f,17,11036,3,41,100,nina
vial,1,f,17,11036,4,41,100,nina
vial,1,f,17,11036,5,21,100,nina
vial,1,f,18,11039,1,45,100,nina
vial,1,f,18,11039,2,23,100,nina
vial,1,f,18,11039,3,34,100,nina
vial,1,f,18,11039,4,30,100,nina
vial,1,f,18,11039,5,14,100,nina
vial,1,f,19,11041,1,53,100,amardeep
vial,1,f,19,11041,2,28,100,amardeep
vial,1,f,19,11041,3,36,100,amardeep
vial,1,f,19,11041,4,26,100,amardeep
vial,1,f,19,11041,5,23,100,amardeep
vial,1,f,20,11042,1,22,100,amardeep
vial,1,f,20,11042,2,37,107,amardeep
vial,1,f,20,11042,3,35,125,amardeep
vial,1,f,20,11042,4,16,107,nina
vial,1,f,20,11042,5,63,118,nina
vial,1,f,14,11028,1,33,100,amardeep
vial,1,f,14,11028,2,29,100,amardeep
vial,1,f,14,11028,3,34,100,amardeep
vial,1,f,14,11028,4,17,100,nina
vial,1,f,14,11028,5,21,100,nina
vial,1,f,16,11034,1,30,100,NA
vial,1,f,16,11034,2,33,100,NA
vial,1,f,16,11034,3,40,100,NA
vial,1,f,16,11034,4,38,100,NA
vial,1,f,16,11034,5,28,100,NA
vial,1,f,21,11043,1,39,115,nina
vial,1,f,21,11043,2,35,112,nina
vial,1,f,21,11043,3,16,111,nina
vial,1,f,21,11043,4,35,107,nina
vial,1,f,21,11043,5,23,108,nina
vial,1,f,23,11045,1,44,106,nina
vial,1,f,23,11045,2,27,126,nina
vial,1,f,23,11045,3,29,100,nina
vial,1,f,23,11045,4,25,136,nina
vial,1,f,28,11050,4,19,100,NA
vial,1,f,28,11050,5,38,102,NA
vial,1,f,29,11051,1,28,100,NA
vial,1,f,29,11051,2,30,100,NA
vial,1,f,29,11051,3,26,100,NA
vial,1,f,29,11051,4,34,100,NA
vial,1,f,29,11051,5,39,100,NA
vial,1,f,26,11048,1,33,100,NA
vial,1,f,26,11048,2,29,90,NA
vial,1,f,26,11048,3,30,100,NA
vial,1,f,26,11048,4,42,100,NA
vial,1,f,26,11048,5,31,100,NA
vial,1,f,27,11049,1,28,100,NA
vial,1,f,27,11049,2,41,100,NA
vial,1,f,27,11049,3,30,100,NA
vial,1,f,27,11049,4,23,100,NA
vial,1,f,27,11049,5,36,100,NA
vial,1,f,24,11046,1,26,100,NA
vial,1,f,24,11046,2,26,100,NA
vial,1,f,24,11046,3,29,100,NA
vial,1,f,24,11046,4,19,100,NA
vial,1,f,24,11046,5,16,100,NA
vial,1,f,25,11047,1,27,100,NA
vial,1,f,25,11047,2,18,100,NA
vial,1,f,25,11047,3,26,100,NA
vial,1,f,25,11047,4,33,100,NA
vial,1,f,25,11047,5,34,100,NA
vial,1,f,36,11058,3,22,100,NA
vial,1,f,36,11058,4,25,100,NA
vial,1,f,36,11058,5,29,100,NA
vial,1,f,37,11059,1,28,100,NA
vial,1,f,37,11059,2,36,100,NA
vial,1,f,37,11059,3,20,100,NA
vial,1,f,37,11059,4,37,100,NA
vial,1,f,37,11059,5,39,100,NA
vial,1,f,35,11057,5,29,100,NA
vial,1,f,35,11057,4,32,100,NA
vial,1,f,35,11057,3,30,100,NA
vial,1,f,35,11057,2,19,100,NA
vial,1,f,35,11057,1,22,111,NA
vial,1,f,34,11056,5,20,100,NA
