"mating.regime","block","sex","agrawal.stock.number","DSPR.stock.number","replicate","total.wt","total.flies","scorer.name","prop.wt","total.wtNOT","most.severe.variants.whole.genome","zhang.radical.score.polarity.and.volume.whole.genome","INDELs.whole.genome"
"vial","1","f","2","11002",1,24,72,NA,0.333333333333333,48,4,266,114
"vial","1","f","2","11002",2,10,37,NA,0.27027027027027,27,4,266,114
"vial","1","f","2","11002",3,13,41,NA,0.317073170731707,28,4,266,114
"vial","1","f","2","11002",4,16,53,NA,0.30188679245283,37,4,266,114
"vial","1","f","2","11002",5,44,89,NA,0.49438202247191,45,4,266,114
"vial","1","f","4","11005",1,28,74,NA,0.378378378378378,46,5,253,133
"vial","1","f","4","11005",2,31,100,NA,0.31,69,5,253,133
"vial","1","f","4","11005",3,35,83,NA,0.421686746987952,48,5,253,133
"vial","1","f","4","11005",4,36,84,NA,0.428571428571429,48,5,253,133
"vial","1","f","4","11005",5,27,89,NA,0.303370786516854,62,5,253,133
"vial","1","f","5","11009",1,32,68,NA,0.470588235294118,36,3,245,118
"vial","1","f","5","11009",2,13,69,NA,0.188405797101449,56,3,245,118
"vial","1","f","5","11009",3,23,65,NA,0.353846153846154,42,3,245,118
"vial","1","f","5","11009",4,29,67,NA,0.432835820895522,38,3,245,118
"vial","1","f","5","11009",5,16,51,NA,0.313725490196078,35,3,245,118
"vial","1","f","6","11011",1,21,100,NA,0.21,79,2,275,124
"vial","1","f","6","11011",2,5,64,NA,0.078125,59,2,275,124
"vial","1","f","6","11011",3,14,100,NA,0.14,86,2,275,124
"vial","1","f","6","11011",4,9,90,NA,0.1,81,2,275,124
"vial","1","f","6","11011",5,10,76,NA,0.131578947368421,66,2,275,124
"vial","1","f","7","11013",1,34,100,NA,0.34,66,5,257,124
"vial","1","f","7","11013",2,23,100,NA,0.23,77,5,257,124
"vial","1","f","7","11013",3,32,100,NA,0.32,68,5,257,124
"vial","1","f","7","11013",4,15,43,NA,0.348837209302326,28,5,257,124
"vial","1","f","7","11013",5,43,98,NA,0.438775510204082,55,5,257,124
"vial","1","f","8","11015",1,24,100,NA,0.24,76,6,295,132
"vial","1","f","8","11015",2,30,100,NA,0.3,70,6,295,132
"vial","1","f","8","11015",3,23,100,NA,0.23,77,6,295,132
"vial","1","f","8","11015",4,38,100,NA,0.38,62,6,295,132
"vial","1","f","8","11015",5,36,100,NA,0.36,64,6,295,132
"vial","1","f","9","11018",1,31,100,NA,0.31,69,8,280,164
"vial","1","f","9","11018",2,19,100,NA,0.19,81,8,280,164
"vial","1","f","9","11018",3,30,100,NA,0.3,70,8,280,164
"vial","1","f","9","11018",4,24,98,NA,0.244897959183673,74,8,280,164
"vial","1","f","9","11018",5,26,100,NA,0.26,74,8,280,164
"vial","1","f","10","11019",1,37,100,NA,0.37,63,8,276,97
"vial","1","f","10","11019",2,31,112,NA,0.276785714285714,81,8,276,97
"vial","1","f","10","11019",3,34,100,NA,0.34,66,8,276,97
"vial","1","f","10","11019",4,30,100,NA,0.3,70,8,276,97
"vial","1","f","10","11019",5,32,100,NA,0.32,68,8,276,97
"vial","1","f","11","11022",1,29,100,NA,0.29,71,6,265,164
"vial","1","f","11","11022",2,28,100,NA,0.28,72,6,265,164
"vial","1","f","11","11022",3,34,100,NA,0.34,66,6,265,164
"vial","1","f","11","11022",4,32,100,NA,0.32,68,6,265,164
"vial","1","f","11","11022",5,30,100,NA,0.3,70,6,265,164
"vial","1","f","12","11025",1,35,100,NA,0.35,65,5,290,121
"vial","1","f","12","11025",2,32,100,NA,0.32,68,5,290,121
"vial","1","f","12","11025",3,21,100,NA,0.21,79,5,290,121
"vial","1","f","12","11025",4,39,100,NA,0.39,61,5,290,121
"vial","1","f","12","11025",5,28,99,NA,0.282828282828283,71,5,290,121
"vial","1","f","15","11031",1,22,100,NA,0.22,78,8,288,134
"vial","1","f","15","11031",2,26,100,NA,0.26,74,8,288,134
"vial","1","f","15","11031",3,23,100,NA,0.23,77,8,288,134
"vial","1","f","15","11031",4,34,100,NA,0.34,66,8,288,134
"vial","1","f","13","11027",1,27,100,"nina",0.27,73,7,259,105
"vial","1","f","13","11027",2,29,100,"nina",0.29,71,7,259,105
"vial","1","f","13","11027",3,33,100,"nina",0.33,67,7,259,105
"vial","1","f","13","11027",4,38,100,"nina",0.38,62,7,259,105
"vial","1","f","13","11027",5,22,100,"nina",0.22,78,7,259,105
